pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P5,2,ForceScroll,10317,14944.5,long,2,888,536.5,3,7,10
P5,3,ForceScroll,3447,4055.5,short,1,469.5,469.5,0,9,9
P5,3,ForceScroll,1876,3944.5,short,0,0,0,0,1,1
P5,3,ForceScroll,5564,14944.5,long,0,0,0,2,9,11
P5,3,ForceScroll,4170,10055.5,medium,1,16.5,16.5,1,2,3
P5,3,ForceScroll,10954,15055.5,long,0,0,0,5,1,6
P5,1,Traditional,3115,10055.5,medium,0,0,0,0,5,5
P5,1,Traditional,3199,9944.5,medium,0,0,0,0,17,17
P5,1,Traditional,1782,3944.5,short,0,0,0,0,1,1
P5,1,Traditional,3739,15055.5,long,1,1016.5,1016.5,0,5,5
P5,1,Traditional,2809,4055.5,short,0,0,0,0,1,1
P5,2,Traditional,3304,3944.5,short,1,315.5,315.5,0,3,3
P5,2,Traditional,3591,10055.5,medium,1,697.5,697.5,0,9,9
P5,2,Traditional,1840,4055.5,short,0,0,0,0,1,1
P5,2,Traditional,3312,9944.5,medium,1,20.5,20.5,0,22,22
P5,2,Traditional,3489,14944.5,long,1,606.5,606.5,0,4,4
P5,3,Traditional,1700,4055.5,short,0,0,0,0,1,1
P5,3,Traditional,2713,3944.5,short,1,849.5,849.5,0,3,3
P5,3,Traditional,2919,14944.5,long,0,0,0,0,10,10
P5,3,Traditional,2323,10055.5,medium,0,0,0,0,10,10
P5,3,Traditional,2988,15055.5,long,1,1022.5,1022.5,0,11,11
P6,1,ForcePress,5687,10055.5,medium,0,0,0,2,1,3
P6,1,ForcePress,4211,9944.5,medium,0,0,0,3,0,3
P6,1,ForcePress,2785,3944.5,short,0,0,0,2,0,2
P6,1,ForcePress,5768,15055.5,long,0,0,0,3,1,4
P6,1,ForcePress,3814,4055.5,short,0,0,0,2,0,2
P6,2,ForcePress,2794,4055.5,short,0,0,0,2,0,2
P6,2,ForcePress,2926,3944.5,short,0,0,0,1,1,2
P6,2,ForcePress,4648,14944.5,long,0,0,0,2,0,2
P6,2,ForcePress,4954,10055.5,medium,0,0,0,3,0,3
P6,2,ForcePress,4682,15055.5,long,0,0,0,2,0,2
P6,3,ForcePress,4091,14944.5,long,0,0,0,2,0,2
P6,3,ForcePress,13488,4055.5,short,1,1115.5,1115.5,7,2,9
P6,3,ForcePress,4207,15055.5,long,0,0,0,2,0,2
P6,3,ForcePress,2688,3944.5,short,0,0,0,3,0,3
P6,3,ForcePress,4200,9944.5,medium,0,0,0,3,0,3
P6,1,ForceScroll,7300,10055.5,medium,0,0,0,2,0,2
P6,1,ForceScroll,10402,9944.5,medium,1,4781.5,4781.5,3,2,5
P6,1,ForceScroll,7063,3944.5,short,2,688,479.5,3,0,3
P6,1,ForceScroll,11520,15055.5,long,1,152.5,152.5,4,1,5
P6,1,ForceScroll,3522,4055.5,short,0,0,0,1,0,1
P6,2,ForceScroll,3893,4055.5,short,0,0,0,1,1,2
P6,2,ForceScroll,7074,3944.5,short,2,438,307.5,3,1,4
P6,2,ForceScroll,10429,14944.5,long,1,477.5,477.5,5,0,5
P6,2,ForceScroll,7018,10055.5,medium,0,0,0,2,1,3
P6,2,ForceScroll,6351,15055.5,long,0,0,0,2,1,3
P6,3,ForceScroll,6181,14944.5,long,0,0,0,2,0,2
P6,3,ForceScroll,3487,4055.5,short,0,0,0,1,1,2
P6,3,ForceScroll,7649,15055.5,long,1,369.5,369.5,4,0,4
P6,3,ForceScroll,2128,3944.5,short,0,0,0,1,0,1
P6,3,ForceScroll,6332,9944.5,medium,0,0,0,2,0,2
P6,1,Traditional,4715,10055.5,medium,1,2822.5,2822.5,0,9,9
P6,1,Traditional,3627,9944.5,medium,0,0,0,0,4,4
